question,code,product_name,category
What are the ingredients in Orgain's Hemp Yeah protein powder?,0851770008877,Hemp yeah,ingredient
Is there any almond in the Hemp Yeah protein powder by Orgain?,0851770008877,Hemp yeah,allergen
What is the protein content per 100g in Orgain's plant-based protein powder?,0851770008877,Hemp yeah,nutrition
What are the ingredients in Knorr's Mediterranean Vegetable Bouillon?,8711200339495,Bouillon Légumes Méditerranéens,ingredient
Does Knorr's Bouillon Légumes Méditerranéens contain any allergens?,8711200339495,Bouillon Légumes Méditerranéens,allergen
How many calories are in 100g of Knorr's vegetable bouillon cubes?,8711200339495,Bouillon Légumes Méditerranéens,nutrition
What sweet snacks from Astruc Patisserie contain eggs and gluten?,3286790100350,8 madeleines pur beurre,discovery
What are the ingredients in 8 madeleines pur beurre by Astruc Patisserie?,3286790100350,8 madeleines pur beurre,ingredient
How many calories are there in 100 grams of madeleines pur beurre?,3286790100350,8 madeleines pur beurre,nutrition
What are the ingredients in Iceland's Breaded Katsu Chicken Breast Fillets?,5010482789572,Breaded Katsu Chicken Breast Fillets,ingredient
Is there soy in Iceland's Katsu Chicken Breast Fillets?,5010482789572,Breaded Katsu Chicken Breast Fillets,allergen
How many calories are in 100 grams of Iceland's Breaded Katsu Chicken?,5010482789572,Breaded Katsu Chicken Breast Fillets,nutrition
What is the main ingredient of Crème de la cream's Oats on the Go?,8714443805246,Oats on the Go,ingredient
Is Crème de la cream's Oats on the Go safe for someone with a gluten allergy?,8714443805246,Oats on the Go,allergen
How many calories are there in 100 grams of Oats on the Go by Crème de la cream?,8714443805246,Oats on the Go,nutrition
What are the key ingredients in Lauenstein's Rosmarin Limette Pfeffer dark chocolate?,4001527180226,Rosmarin Limette Pfeffer,ingredient
Is there any soy allergen in Rosmarin Limette Pfeffer by Lauenstein?,4001527180226,Rosmarin Limette Pfeffer,allergen
How much sugar is found in 100 grams of Lauenstein's dark chocolate with rosemary and lime?,4001527180226,Rosmarin Limette Pfeffer,nutrition
What is the brand of the grated Emmental cheese with 50% mozzarella?,3250392808327,Rape special pizza 150g,product_lookup
Does Pâturages' Rape special pizza contain any allergens?,3250392808327,Rape special pizza 150g,allergen
How much fat is in Pâturages' grated cheese product?,3250392808327,Rape special pizza 150g,nutrition
What brand makes frozen french fries using sunflower oil?,4019026809104,Frites à l'huile de tournesol,product_lookup
Does Aquibio's frozen fried potatoes contain dextrose?,4019026809104,Frites à l'huile de tournesol,ingredient
How much fat is in Aquibio's frozen french fries?,4019026809104,Frites à l'huile de tournesol,nutrition
"What is the fruit content in Bioitalia's organic apple, strawberry, and banana puree?",0661475202049,Puree bio,ingredient
How many calories are in 100 grams of Bioitalia fruit puree?,0661475202049,Puree bio,nutrition
Is there any fat in the Bioitalia organic fruit puree?,0661475202049,Puree bio,nutrition
What are the ingredients in Asda's Bistro fish pie?,5063089324301,Bistro fish pie,ingredient
Does Asda's Bistro fish pie contain allergens?,5063089324301,Bistro fish pie,allergen
How many calories are in 100 grams of Bistro fish pie from Asda?,5063089324301,Bistro fish pie,nutrition
What are the ingredients in Carnes Portugal's Suíno burger?,5608247000941,Hambúrguer Suíno,ingredient
Is there any sulphur dioxide in the pork hamburger by Carnes Portugal?,5608247000941,Hambúrguer Suíno,allergen
How much fat is in the Hambúrguer Suíno from Carnes Portugal?,5608247000941,Hambúrguer Suíno,nutrition
"What are the ingredients in the Desserts Collection with milk chocolate, white chocolate, and sticky toffee caramel?",5390394010545,Desserts Collection,ingredient
Is there any milk allergen in the Desserts Collection?,5390394010545,Desserts Collection,allergen
How many calories are in 100g of the Desserts Collection?,5390394010545,Desserts Collection,nutrition
What are the main ingredients in Sainsbury's Taste the Difference pomodoro sauce?,01745566,pomodoro sauce,ingredient
How many calories are there in 100g of Sainsbury's Taste the Difference tomato sauce?,01745566,pomodoro sauce,nutrition
Is Sainsbury's Taste the Difference pomodoro sauce suitable for vegetarians?,01745566,pomodoro sauce,discovery
