turn_1,turn_2,code,product_name
What are the main ingredients in Hi-Chew's Original Mix?,Are there any alternatives that are similar but have less sugar?,0873983005047,Original Mix
Can you tell me more about the Tiras de Maíz from Snack Day?,"What about this one, are there any alternatives that are less salty?",20944605,Tiras de Maíz
What are the ingredients in the 2 steaks hachés race limousine façon bouchère from Monoprix?,Can you suggest any alternatives like this one that are also 100% pure beef?,3350030114831,2 steaks hachés race limousine façon bouchère
What are the main ingredients in Curiously Cinnamon by Nestlé?,Do you have any alternatives that are similar but with less sugar?,5011476102131,curiously cinnamon
What are the main ingredients in Crispy Crunch by Cadbury?,Can you suggest something similar but without peanuts?,0061200002423,Crispy Crunch
Can you tell me more about Stouffer's Grandma's Chicken & Vegetable Rice Bake?,What about something similar but with less fat?,0013800190864,GRANDMA'S CHICKEN & VEGETABLE RICE BAKE
What are the main ingredients in Gula Granola Gingerbread?,What about it in a different flavor?,2000000062755,Gula Granola Gingerbread
What ingredients are used in the Finest rillettes eend?,Are there any alternatives to this one that are also duck-based?,5413345006357,Finest rillettes eend
What are the main ingredients in Chocolate Lucky Charms?,What about this one in terms of nutritional value?,0016000151581,Chocolate Lucky Charms
Can you tell me more about the Sauce Tomate Bolognaise Végétale by La Fourche?,What about the same but with a spicier flavor?,3760324846322,Sauce Tomate Bolognaise Végétale
What ingredients are in the Gaufres pépites de chocolat by Pasquier?,What about any alternatives that are similar but without milk?,3256549997449,Gaufres pépites de chocolat
What ingredients are in the Orzo Tonno e Olive by Bonduelle?,Can you suggest any alternatives to this one?,8006862008804,Orzo Tonno e Olive - Cereallegre
Can you tell me more about the Katrinplommon by Sun Maid?,What about this one in a different flavor?,0041143099179,Katrinplommon
What are the ingredients in the PORRIDGE Fruits rouges Noisettes by Celnat?,Can you suggest any alternatives that are similar to this one?,3273120030586,PORRIDGE Fruits rouges Noisettes
What are the main ingredients in Carrefour Osso Bucco de Veau?,Are there any alternatives to this one that are lower in fat?,2725398000000,Carrefour Osso Bucco de Veau
What are the main ingredients in My muesli beauty granola?,Can you suggest any alternatives that are similar to this one?,4251680809469,My muesli beauty granola
What are the main ingredients in the Crème chocolat by Nutrisaveurs?,Is it possible to find something similar but without added sugars?,3760143951276,Crème chocolat
Can you tell me more about Nero - Black Wholegrain Rice by Gallo?,What about alternatives that have similar ingredients?,8001420011722,Nero - Black Wholegrain Rice
What are the ingredients in the Lobe de foie gras de canard - Sel et poivre by Monoprix?,Can you tell me about any alternatives for this one?,3350033379794,Lobe de foie gras de canard - Sel et poivre
What ingredients are in the Muek Groob หมึกกรุบตราซันสุ snack?,Are there any alternatives that are similar but without the Sichuan pepper?,8859745200167,หมึกกรุบตราซันสุ
What are the ingredients in the CHAMPIGNONS by DIE KAZEMACHER?,Can you tell me if there are any alternatives to this one?,90364051,CHAMPIGNONS
What are the ingredients in Amande bio?,Can you show me the same but with a different flavor?,3248340058252,Amande bio
What ingredients are in the Fused Teriyaki sauce?,Are there any alternatives that have a similar taste to this one?,5392000134683,Fused Teriyaki
What are the ingredients in the Macaron chocolat by Dulcesol?,Are there any alternatives to this one that have a similar flavor profile?,8410087430942,Macaron chocolat
What are the main ingredients in the Protein Professional by SciTech?,Is there an alternative similar to this one that has lower sugar content?,5999100021679,Protein professional
Can you tell me more about the Beignets de crevettes by GINEYS?,"What about it, are there any alternatives to this one?",3267180364781,Beignets de crevettes
What are the main ingredients in the Baguette viennoise Jambon crudités Mayonnaise from Auchan?,Can you tell me if there are any alternatives to this one that are gluten-free?,3596710472475,Baguette viennoiseJambon cruditésMayonnaise
What is the flavor of the Drinkable Lowfat Greek Style Yogurt from Glenoaks Farms?,Are there any alternatives with the same yogurt texture but a different flavor?,0857468003070,Drinkable Lowfat Greek Style Yogurt
Can you tell me more about Spirrones by Barcel?,"What about this one, do you have any alternatives that are less salty?",0757528000417,Spirrones
Can you tell me more about the Barretta farcita mirtillo high protein 30% by Isostad?,What about it in a different flavor?,3175681294783,Barretta farcita mirtillo high protein 30%
What ingredients are in the Layered Fruit Bars Variety Pack by Pure Organic?,What about the same but with different fruit flavors?,0190912100865,Layered Fruit Bars Variety Pack
Can you tell me about the ingredients in the banana bread from Brekky?,What about this one in terms of protein content?,4262402790156,Banana bread
What are the ingredients in Pulco cuisine - citron vert by Polenghi?,Any alternatives to this one?,8031301883384,Pulco cuisine - citron vert
What are the main ingredients in Linsencreme Kräuter?,Can you suggest any alternatives that are similar to this one?,4056489624523,Linsencreme Kräuter
What are the main ingredients in the Creamy Ricotta Spaghetti Sauce by CLASSICO?,Can you suggest any alternatives that are like this one?,0041129000588,Creamy Ricotta Spaghetti Sauce
What ingredients are used in Trader Joe’s Curly Fries?,Are there any alternatives that have similar spices?,4068706444814,Curly Fries
What are the key ingredients in the salted butter by Oldenburger?,Is there the same but with less salt?,4036300010315,Salted butter
What are the ingredients in the Vegetarische Mini-Wiener from Mein Veggie Tag?,Are there any alternatives to it that are also vegetarian?,4061463535818,Vegetarische Mini-Wiener
Can you tell me more about the nutritional information of Cereal Great Value Slim Fit trigo y arroz?,"What about this one, does it have any similar options with lower sugar content?",2000000147337,Cereal Great Value Slim Fit trigo y arroz
Can you tell me more about the Gluten free 2 cod fillets from Marks and Spencer?,"What about this one, does it have any alternatives?",00935791,Gluten free 2 cod fillets
What are the ingredients in Serpentini Pâtes d'Alsace by Valfleuri?,Can you suggest any alternatives that are similar to this one?,3264961127344,Serpentini Pâtes d'Alsace
Can you tell me more about the Sablés citron by Pleniday?,"What about this one, are there any alternatives with a different flavor?",3380380094255,Sablés citron
Can you tell me more about the Marinara Pasta Sauce by Great Value?,What are some alternatives that are like this one?,0078742346342,Marinara Pasta Sauce
Can you tell me more about the Salade de thon Mexicaine by Auchan?,What about this one for a lighter option?,3596710024100,Salade de thon Mexicaine
What are the main ingredients in Mini saucisson aux noix by Monoprix?,Are there any alternatives to this one without nuts?,3350030204051,Mini saucisson aux noix
What are the ingredients in Mae Ploy Panang curry?,Do you have any alternatives to this one that are also gluten-free?,0044738205610,Panang curry
What are the main ingredients in IQ Mix?,Can you suggest any alternatives to this one?,0850004554470,IQ Mix
What are the main ingredients in Happy Harvest Cornflakes?,Are there any alternatives to this one that are lower in sugar?,4099200029511,Cornflakes
What are the main ingredients in the yogurt smoothie yogurt bebible?,Is there any alternative to this one that has a different fruit flavor?,0815473011008,Yogurt smoothie yogurt bebible
What are the main ingredients in Veggie Biryani baby food pouch?,Is there a version of it that's more suitable for older babies?,5060503502673,Veggie Biryani
What are the ingredients in Lucky Rings by K Classic?,Are there any alternatives that are similar to it?,4337185322686,Lucky Rings
What can you tell me about the Poulet jaune fermier Label Rouge prêt à cuire?,Are there any alternatives that are similar to this one?,2209679008074,Poulet jaune fermier Label Rouge prêt à cuire
What are the ingredients in Hacendado's Mostaza dulce?,Do you have any alternatives to this one that are also sweet mustards?,8480000173119,Mostaza dulce
What ingredients are in Rao’s Homemade Marinara?,"What about this one, does it have lower sugar content?",0747479000031,Rao’s Homemade Marinara
What are the ingredients in Moin Kako by Milram?,Are there any alternatives to this one that are also flavored milk?,4007929053878,Moin Kako
What ingredients are used in Sufra's Chicken Nuggets?,Are there any alternatives to this one that are also breaded?,0061483065146,Chicken Nuggets
What ingredients are in the Cocon puddings?,Are there any alternatives that contain the same flavors?,9556437002403,Puddings
What are the main ingredients of Galletas María dorada?,Can I find something similar to this one that's gluten-free?,8414807501110,Galletas María dorada
Can you tell me about the nutrition information for Wawa Apple Slices?,"What about it in terms of flavor, are there any alternatives?",0726191069236,Apple Slices
What are the main ingredients in Emincé de Saucisse de viande by TEMPÉ MAISON D'ALSACE?,Are there any alternatives that have the same flavor profile?,3301091902226,Emincé de Saucisse de viande
Can you tell me more about the ingredients in Trader Joe's Cacio e Pepe Pasta Sauce?,What about options that have the same flavor profile?,00706506,Cacio e Pepe Pasta Sauce
Can you tell me more about the Roasted Rosemary Boneless Chicken Breast with a Brown & Wild Rice Blend from Trader Joe's?,Is there anything like this one but with a different flavor?,00161886,Roasted Rosemary Boneless Chicken Breast with a Brown & Wild Rice Blend
Can you tell me more about the Granada Padano cheese from Dantelli?,"What about this one in terms of flavor, are there any alternatives?",29001187,Granada Padano
What are the ingredients in the Protein Bar Cashews & Cocoa from The Protein Kitchen?,Are there any alternatives to this one that are also high in protein?,5713307500061,Protein Bar Cashews & Cocoa
What are the ingredients in Panini al Latte by Conad?,Can you tell me if there's anything similar to this one without eggs?,8003170057906,Panini al Latte
What are the main ingredients in the Barre Cranberry by Raw Bar?,What about this one in terms of nut content?,8719979201982,Barre Cranberry
What are the main ingredients of Beurre léger 41% MG Crémeux by Elle & Vire?,Do you have this one in a lower fat version?,3451790153709,Beurre léger 41% MG Crémeux Le Demi-Ecrémé Doux
Can you tell me more about the Biogourmet mayonnaise and its ingredients?,Does it come in a larger size or any alternatives?,4039057403751,Mayonnaise 100ML
Can you tell me more about the 30 Boudoirs by Chabrior?,What about the same but with a different flavor?,3250391714407,30 Boudoirs
What are the ingredients in Hacendado's Almendras rellenas de turrón?,Can you tell me if this one has any alternatives that are less sweet?,8480000364210,Almendras rellenas de turrón
What are the ingredients in Plantspired's plant-based chick’n bites?,What about this one in a larger pack?,0025484007826,Plant-based chick’n bites
What are the ingredients in the Medium Cheddar from l'île-aux-Grues?,Are there any alternatives that have the same ingredients?,0066129002745,Medium Cheddar
What are the nutritional values of Aster Sesame Oil per 100 grams?,Can you suggest any alternatives that have similar nutritional values?,8886433391524,Sesame oil
Can you tell me more about the Quark Creme from Milsani?,Do you have anything similar in a fruit flavor?,4061458011556,Quark Creme
What are the main ingredients in NATUR'AVENIR's Crème de marrons?,Can you recommend any alternatives to this one?,3520832140158,Crème de marrons
"Can you tell me more about the Lait, Coco goût by Côte d'Or?",What about this one with a different flavor?,7622201514372,"Lait, Coco goût smaak"
What are the ingredients in the Coconut curry product?,Are there any alternatives that have the same ingredients but without the mustard seeds?,0814668000346,Coconut curry
Can you tell me more about the Au bon lait de nos régions - Feuilleté caramel by Poulain?,What about it with a different filling or flavor?,3664346300216,Au bon lait de nos régions - Feuilleté caramel
What are the ingredients in the Tarte abricot crumble from Super U?,Can you suggest any alternatives to this one that also have apricots?,2000000262642,Tarte abricot crumble
Can you tell me more about the Chick'n Twist BBQ by Le Gaulois?,What about the same but with a spicy flavor?,3266980795443,Chick'n Twist BBQ
